# id	question (NL)	answer (NL)
bank1-1-0	Het antwoord op de vraag “Wie ben ik?” geeft iemands _____.	identiteit
bank1-2-1	Gelovigen zijn _____ naar _____.	geschapen; het beeld van God
bank1-3-2	_____ is een schriftgedeelte dat het geloof ondersteunt dat gelovigen naar het beeld van God geschapen zijn.	Genesis 1:27
bank1-4-3	Een mens is geschapen als fysiek, _____ en _____.	emotioneel; geestelijk
bank1-5-4	God heeft de mens het vermogen gegeven dezelfde _____ te uiten die Hij voelt.	emoties
bank1-6-5	De wisselwerking tussen de fysieke, emotionele en geestelijke kanten van de mens bepaalt wat voor _____ hij wordt.	dienaren
bank1-7-6	_____ is een schriftgedeelte dat de gelovige wijst op de ervaring van rechtvaardiging.	Romeinen 5:9
bank1-8-7	_____ is een schriftgedeelte dat de uitdrukking van verlossing voor de gelovige aanwijst.	1 Petrus 1:18, 19
bank1-9-8	_____ gedrag is de wil van God.	Christusgelijkvormig
bank1-10-9	Een discipel heeft een oprechte bewogenheid voor de _____.	verlorenen
bank1-11-10	Een discipel onderzoekt de _____ om een doeltreffend getuige te zijn.	Schrift
bank1-12-11	Een herder/leider is standvastig in _____.	geloof; liefde; en volharding
bank1-13-12	Een geroepen mens functioneert dwingend vanuit _____.	noodzaak
bank1-14-13	Een geroepen mens functioneert _____ in het licht van een heilige verantwoordelijkheid.	gewillig
bank1-15-14	Een dienaar is een instrument van _____.	geestelijke verandering
bank1-1-15	Dienaren moeten _____ ontwikkelen.	geestelijke reactiepatronen
bank1-2-16	Dienaren moeten erkennen dat er een voortdurende geestelijke strijd is om de heerschappij over de _____.	gedachten
bank1-3-17	Dienaren moeten hun geloof richten op _____.	Christus
bank1-4-18	Om geestelijk te zijn moet een dienaar het verschil begrijpen tussen de _____ gezindheid en de _____ gezindheid.	geestelijke; zondige
bank1-5-19	De zondige gezindheid is _____ tegen God (Romeinen 8:7).	vijandschap
bank1-6-20	De geestelijke gezindheid is _____ (Romeinen 12:2).	vernieuwd
bank1-7-21	Als herder/leider moet een dienaar een _____ _____ hebben.	werkbaar plan
bank1-8-22	Als herder/leider heeft een dienaar besef van _____ (Efeze 6:10).	doel
bank1-9-23	Als herder/leider moet een dienaar toegewijd zijn aan _____.	gebed
bank1-10-24	Als herder/leider moet een dienaar een houding van _____ aannemen.	leiderschap
bank1-11-25	Jezus _____ mensen.	onderwees
bank1-12-26	Als herder/leider legt een dienaar nadruk op _____ in de bediening.	prioriteiten
bank1-13-27	Een prioriteit in de bediening moet gebouwd zijn op de centrale plaats van _____.	aanbidding
bank1-14-28	Prediking bestaat om mensen te _____.	beïnvloeden
bank1-15-29	Een preek moet gevoeld worden in _____ van de dienaar.	hart en geest
bank1-1-30	_____ is elke week de belangrijkste gebeurtenis in het leven van de gemeente.	De viering van de eredienst
bank1-2-31	Het aanbiddingsmodel van de vroege kerk was gebaseerd op de stijl van _____.	de synagoge
bank1-3-32	Aanbidding kan worden gezien als de _____ van het wiel van de bediening.	naaf
bank1-4-33	Drie doelen van aanbidding zijn _____.	God verhogen; gelovigen opbouwen; de verlorenen evangeliseren
bank1-5-34	Een eredienst moet gelovigen doen _____.	rijpen
bank1-6-35	De opbouw van een eredienst mag per gemeente _____ zijn.	verschillend
bank1-7-36	Een eredienst moet doordacht, _____ en _____ zijn tot Gods eer.	doorbeden; ontworpen
bank1-8-37	Een oproep tot aanbidding moet de aanbidder _____ op de grootheid van God.	richten
bank1-9-38	De Bijbel zegt in _____ dat er openbare voorlezing van de Schrift moet zijn.	1 Timotheüs 4:13
bank1-10-39	De _____ lofprijzing is belangrijk, omdat de eredienst geen toeschouwersgebeuren mag zijn.	gemeenschappelijke
bank1-11-40	Angst en schuldgevoel gebruiken bij het inzamelen van een offer is _____.	onvruchtbaar
