church,city,tradition,website,public_contact,source,notes
Protestantse Gemeente Amersfoort (central),Amersfoort,PKN Protestant,pkn-amersfoort.nl,"see site contact page (no single public office email found)",pkn-amersfoort.nl,"Umbrella of 9 wijkgemeenten below; central body, contact via site"
Adventkerk,Amersfoort,PKN Protestant,adventkerk-amersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,"pkn-amersfoort.nl lists domain as adventkerk.nl - verify exact domain before send"
Bergkerk,Amersfoort,PKN Protestant,bergkerkamersfoort.nl,see site contact page,RvK-Amersfoort / pkn-amersfoort.nl,"source pages differ (bergkerk.nl vs bergkerkamersfoort.nl) - verify domain before send"
De Bron,Amersfoort,PKN Protestant,debronamersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
De Brug,Amersfoort,PKN Protestant,debrugamersfoort.nl,see site contact page,RvK-Amersfoort / pkn-amersfoort.nl,"source pages differ (brugkerk.eu vs debrugamersfoort.nl) - verify domain before send"
De Hoeksteen,Amersfoort,PKN Protestant,hoeksteenamersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
Emmaüskerk,Amersfoort,PKN Protestant,emmauskerk-amersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
Fonteinkerk,Amersfoort,PKN Protestant,fonteinkerk-amersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
Nieuwe Kerk,Amersfoort,PKN Protestant,nieuwekerkamersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
Sint-Joriskerk,Amersfoort,PKN Protestant,sintjoriskerk-amersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
Johanneskerk (Doopsgezind/Remonstrants/Vrijzinnig),Amersfoort,Mennonite / Remonstrant / Liberal Protestant,johanneskerk.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
De Amersfoortse Zwaan (Evangelisch-Lutherse Gemeente),Amersfoort,Lutheran,amersfoortsezwaan.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,"also hosts stadsdominee project"
Protestantse Gemeente Hoogland/Amersfoort-Noord (central),Amersfoort (Hoogland),PKN Protestant,pkn-amersfoort.nl,see site contact page,pkn-amersfoort.nl,"umbrella of De Inham / Het Brandpunt / Veenkerk below"
De Inham,Amersfoort (Hoogland),PKN Protestant,inham.net,see site contact page,RvK-Amersfoort aangesloten kerken list,
Het Brandpunt,Amersfoort (Hoogland),PKN Protestant,hetbrandpunt.net,see site contact page,RvK-Amersfoort aangesloten kerken list,
Veenkerk,Amersfoort (Hoogland),PKN Protestant,veenkerk.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
RK Parochie Onze Lieve Vrouw van Amersfoort (central secretariaat),Amersfoort (Hoogland),Roman Catholic,katholiekamersfoort.nl,centraalsecretariaatolva@katholiekamersfoort.nl / 033-4893599,katholiekamersfoort.nl,"Kerklaan 22, 3828 EB Hoogland - verified office email+phone; ~20,000 members across 4 communities below"
Sint Ansfridus,Amersfoort,Roman Catholic,sintansfridus.nl,route via central OLVA secretariaat above,katholiekamersfoort.nl / RvK-Amersfoort,"one of 4 OLVA communities - no separate public contact found, use central"
Sint Martinus,Amersfoort,Roman Catholic,katholiekamersfoort.nl,route via central OLVA secretariaat above,katholiekamersfoort.nl,"OLVA community (Eucharistisch Centrum) - no separate public contact found"
Sint Joseph,Amersfoort,Roman Catholic,katholiekamersfoort.nl,route via central OLVA secretariaat above,katholiekamersfoort.nl,"OLVA community - no separate public contact found"
Sint Franciscus Xaverius,Amersfoort,Roman Catholic,katholiekamersfoort.nl,route via central OLVA secretariaat above,katholiekamersfoort.nl,"OLVA community - no separate public contact found"
Boogkerk,Amersfoort,Nederlandse Gereformeerde Kerken (NGK),boogkerk.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
De Lichtkring,Amersfoort,Nederlandse Gereformeerde Kerken (NGK),delichtkring.info,see site contact page,RvK-Amersfoort aangesloten kerken list,"pkn-amersfoort/ngk sources also show kerkdelichtkring.nl - verify domain"
Ontmoetingskerk (Vathorst),Amersfoort (Vathorst),Nederlandse Gereformeerde Kerken (NGK),ontmoetingskerkvathorst.nl,see site contact page,RvK-Amersfoort / NGK regio Amersfoort,
De Schaapskooi,Amersfoort,Nederlandse Gereformeerde Kerken (NGK),deschaapskooi.info,see site contact page,RvK-Amersfoort aangesloten kerken list,
De Kandelaar,Amersfoort,Nederlandse Gereformeerde Kerken (NGK),kandelaar-amersfoort.nl,see site contact page,RvK-Amersfoort / NGK regio Amersfoort,
Martuskerk,Amersfoort,Nederlandse Gereformeerde Kerken (NGK),martuskerk.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
Westerkerk (NGK Amersfoort-West),Amersfoort,Nederlandse Gereformeerde Kerken (NGK),westerkerk.org,033-4616833 / Lingestraat 10 3812 GB Amersfoort,NGK regio Amersfoort page,"verified phone + address from ngk.nl regio Amersfoort page"
De Levensboom,Amersfoort,Nederlandse Gereformeerde Kerken (NGK),ngk.nl,see site contact page,NGK regio Amersfoort page,"specific congregation subdomain not confirmed - use ngk.nl directory to locate"
NGK Amersfoort-Zuid,Amersfoort,Nederlandse Gereformeerde Kerken (NGK),ngk.nl,see site contact page,NGK regio Amersfoort page,"specific congregation subdomain not confirmed - use ngk.nl directory to locate"
Christelijke Gereformeerde Kerk Amersfoort (Ichthuskerk),Amersfoort,Christelijke Gereformeerde Kerken (CGK),cgkamersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
Evangelische Gemeente De Ark,Amersfoort,Evangelical,egdeark.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,"one source also lists arkchurch.nl - verify domain before send"
Baptistengemeente Amersfoort,Amersfoort,Baptist,baptisten-amersfoort.nl,see site contact page,RvK-Amersfoort aangesloten kerken list,
