# id	prompt (NL)	choices (NL), in the same order as the English, separated by |
I.1	Het antwoord op de vraag “Wie ben ik?” geeft iemands _____.	Identiteit | Vriendschap | Intelligentie | Geen van deze
I.2	_____ is een schriftgedeelte dat het geloof ondersteunt dat gelovigen naar het beeld van God geschapen zijn.	Genesis 1:1 | Genesis 1:27 | Mattheüs 4:5 | Geen van deze
I.3	Een mens is geschapen als _____, emotioneel en geestelijk.	Fysiek | Autonoom | Volmaakt | Geen van deze
I.4	_____ is een schriftgedeelte dat de gelovige wijst op de ervaring van rechtvaardiging.	Exodus 4:5 | Handelingen 2:4 | Romeinen 5:9 | Geen van deze
I.5	_____ is een schriftgedeelte dat de uitdrukking van verlossing voor de gelovige aanwijst.	Psalm 4:5, 6 | 1 Petrus 1:18, 19 | 2 Thessalonicenzen 2:3, 4 | Geen van deze
I.6	_____ gedrag is de wil van God.	Kinderachtig | Agressief | Passief | Geen van deze
I.7	Dienaren moeten hun geloof richten op _____.	Groei | Visie | Christus | Geen van deze
I.8	Om geestelijk te zijn moet een dienaar het verschil begrijpen tussen de _____ gezindheid en de zondige gezindheid.	Geestelijke | Vleselijke | Vreedzame | Geen van deze
I.9	Volgens _____ is de zondige gezindheid vijandschap tegen God.	Psalm 1:1 | Romeinen 8:7 | 1 Korinthe 3:3 | Geen van deze
I.10	In _____ wordt de geestelijke gezindheid beschreven als vernieuwd.	Johannes 3:16 | Handelingen 15:4 | Romeinen 12:2 | Geen van deze
I.11	Jezus _____ mensen.	Onderwees | Viel lastig | Bestookte | Geen van deze
I.12	De prioriteit van de bediening moet gebouwd zijn op de centrale plaats van _____.	Offergaven | Toneelstukken | Zang | Geen van deze
I.13	De belangrijkste gebeurtenis in het leven van de gemeente is elke week _____.	De viering van de eredienst | Onderlinge gemeenschap | Barmhartigheid | Geen van deze
I.14	Het aanbiddingsmodel van de vroege kerk was gebaseerd op de stijl van _____.	De tabernakel | De synagoge | Grieks-Romeinse gebruiken | Geen van deze
I.15	De doelen van de eredienst zijn God verhogen, gelovigen opbouwen en _____.	De tienden ontvangen | Gebed en prediking | De verlorenen evangeliseren | Geen van deze
I.16	Een eredienst moet zo opgezet zijn dat de aandacht gericht is op _____.	God | De mens | Christenen | Geen van deze
I.17	Volgens _____ behoort er openbare voorlezing van de Schrift te zijn.	Markus 16:5 | Lukas 24:12 | 1 Timotheüs 4:13 | Geen van deze
I.18	_____ stelt voor dat Christus in de gelovige woont en de gelovige in Christus.	Het Avondmaal | De voetwassing | Wonderen | Geen van deze
I.19	Het Avondmaal richt de gelovige op _____ van Christus.	De geboorte | De persoon | De doop | Geen van deze
I.20	Christus is in het Avondmaal _____ aanwezig.	Transsubstantieel | Consubstantieel | Geestelijk | Geen van deze
I.21	De formule voor de doop staat in _____.	Mattheüs 28:19 | Markus 16:4 | Lukas 24:5 | Geen van deze
I.22	_____ is een Bijbelgedeelte over de voetwassing.	Mattheüs 21:1-4 | Markus 16:7-9 | Johannes 13:1-17 | Geen van deze
I.23	De praktijk van het opdragen van kinderen komt voort uit het opdragen van _____ en _____.	Ezau en Jakob | Simeon en Anna | Samuel en Jezus | Geen van deze
I.24	Kinderen aan God opdragen is een daad van _____.	Genade en barmhartigheid | Lofprijzing en dankzegging | Vriendelijkheid en goedheid | Geen van deze
I.25	Een kind aan God opdragen is een moment om _____ van God te claimen.	De belofte | Het oordeel | De alwetendheid | Geen van deze
I.26	In een huwelijksdienst moet de voorganger de betekenis van het huwelijk uitleggen als een _____ voor Gods aangezicht.	Aangelegenheid van de gemeenschap | Verbondsrelatie | Persoonlijke toezegging | Geen van deze
I.27	De rol van de voorganger is die van een _____.	Herder | Algemeen directeur | Bestuurder | Geen van deze
I.28	Terwijl dienaren hun gemeente leiden, geven zij haar voeding en _____.	Barmhartigheid | Genade | Zorg | Geen van deze
